mean_pred,shape,rate,cov,p95,p99
819.6667,1.105571,0.0013488056,0.9510573,2370.35536214902,3590.244023167713
1298.3387,2.104369,0.0016208165,0.6893489,3030.675649842167,4214.814851630298
789.6056,1.3670805,0.0017313459,0.8552695,2122.202837775308,3119.6387562962573
436.40335,1.2481672,0.0028601228,0.89508367,1209.9852517073377,1801.2245869935225
676.9385,1.6813426,0.002483745,0.7712087,1697.9680299999861,2428.445344542923
597.0807,1.4305092,0.002395839,0.8360932,1580.3169494084907,2308.8118028562576
1093.1158,2.033293,0.0018600893,0.7012938,2579.313314753714,3602.094931083893
1484.3672,0.7402421,0.00049869204,1.1622863,4951.5985530242215,7980.081309190609
955.39685,1.6610899,0.0017386386,0.77589583,2405.972509370674,3446.421081821166
1217.1233,2.1487424,0.0017654272,0.6821939,2822.6500654844504,3915.652657717024
773.39545,1.5330749,0.0019822652,0.80764097,2000.0083398807728,2895.0852531325672
411.66788,1.0326731,0.0025085104,0.98405313,1219.3327700938414,1865.4481212462304
548.6358,1.5266232,0.0027825804,0.80934566,1420.7736126053487,2057.7692664682218
1241.8728,1.7416567,0.0014024437,0.75773746,3079.348845165688,4384.263475328188
1377.0869,0.9991712,0.00072556874,1.0004146,4126.592838525742,6344.3664934454455
1914.4451,2.2107291,0.0011547623,0.6725619,4400.7951695018155,6084.15749192712
1254.0977,1.6741318,0.0013349294,0.77286774,3150.094034734457,4507.781275953369
2209.055,2.202208,0.0009969005,0.67386174,5084.098715406834,7032.070987379059
1084.6403,1.9168029,0.0017672245,0.72228944,2607.6678977852494,3668.226087885828
1001.912,1.3482442,0.0013456712,0.8612232,2705.545826812737,3984.7130294613285
2401.057,1.3979791,0.00058223493,0.8457649,6404.544484962369,9386.07438342436
546.2603,1.4223237,0.002603747,0.83849555,1448.6101576968765,2118.030279161591
100.930786,0.29764333,0.0029489845,1.8329555,462.8765778973763,891.8934700967823
1715.0116,2.3122292,0.0013482295,0.65763444,3888.2451390399797,5347.051722146438
994.4874,2.168783,0.0021808047,0.6790347,2299.6805165383093,3186.624697149438
3784.8247,2.1752625,0.00057473266,0.67802256,8744.026336793537,12112.10708272288
5865.4707,1.7754585,0.00030269666,0.7504897,14453.495661654306,20528.12655027861
444.37656,1.7705526,0.003984352,0.75152874,1096.0007352666296,1557.18311815294
1226.4775,0.22226709,0.00018122394,2.1211061,6141.885742578136,12743.044762905876
1290.7318,2.0906973,0.0016197767,0.6915991,3019.074021402795,4201.991746076128
631.8963,1.5257351,0.002414534,0.8095812,1636.7064948715035,2370.6969960373044
1752.5757,1.7675639,0.0010085521,0.7521638,4324.88505120803,6146.056289332969
1048.0433,1.8601289,0.0017748587,0.7332102,2544.014969124115,3592.09323510868
1129.411,0.22226709,0.00019679911,2.1211061,5655.80168510944,11734.52862267263
858.33405,1.8575463,0.0021641299,0.7337197,2084.4457374744466,2943.7033981322684
1401.3601,1.753864,0.0012515441,0.7550958,3466.9294779910806,4931.697608354539
1020.0615,2.5846038,0.0025337725,0.6220181,2236.1252766913613,3035.6760448901896
923.8394,2.3380046,0.0025307478,0.6539994,2087.4233716875115,2866.854753670121
2623.0332,1.8306729,0.0006979221,0.7390854,6399.920440519427,9054.655350704823
414.36896,2.1317134,0.0051444815,0.68491334,963.3560411029964,1337.6716958132406
437.1248,2.1741047,0.0049736477,0.6782031,1010.0501440133376,1399.1969875221268
743.0419,0.22226709,0.00029913132,2.1211061,3720.963666327821,7720.170733957376
1061.7687,2.4214234,0.0022805564,0.64263535,2373.626840383381,3246.613647078783
1250.0536,1.4473733,0.001157849,0.83120805,3295.530052207451,4807.114787843109
990.1642,1.5052688,0.0015202215,0.81506634,2576.2653104153837,3738.2958926191864
1627.7328,0.22226709,0.00013655011,2.1211061,8151.269487281226,16912.068427266426
405.0357,1.0102699,0.0024942737,0.9949043,1209.006199900688,1855.6985508668254
913.4031,2.4527798,0.0026853203,0.63851446,2034.0182014674162,2777.95537501413
1303.8328,1.6626861,0.0012752296,0.77552336,3282.4016989180836,4701.273504011917
2113.127,1.8394732,0.0008704982,0.7373153,5147.845785308955,7278.824693038425
1171.4434,2.1412172,0.0018278453,0.68339163,2719.6841816619117,3774.406960382386
