mean_pred,shape,rate,cov,p95,p99
814.873,1.0968765,0.0013460706,0.9548192,2363.0107755521576,3583.2344861034458
1249.1847,2.0669527,0.0016546414,0.6955602,2932.383311157711,4086.991278633967
801.7576,1.3669965,0.0017049997,0.8552957,2154.9084894797693,3167.7426381352197
458.00345,1.2600272,0.0027511304,0.89086115,1265.7495211487676,1881.742998499167
700.8048,1.6702867,0.0023833835,0.7737568,1761.6386678541242,2521.6507433068346
612.8724,1.4505926,0.0023668755,0.83028513,1614.5148741671226,2354.353350058567
1084.0786,2.0120504,0.0018560004,0.7049861,2566.4819930905232,3588.7785969919105
1482.2854,0.7337701,0.0004950262,1.1674008,4960.326442673018,8005.741016448911
972.23065,1.6838777,0.0017319735,0.77062786,2437.4474038198537,3485.3776551663764
1196.7822,2.1359928,0.0017847798,0.6842268,2780.629388439015,3860.121580132301
763.54614,1.5127429,0.001981207,0.8130503,1983.35237463083,2876.0560219779395
415.97177,1.0183837,0.002448204,0.99093294,1238.1487244656635,1898.1628628056253
569.9534,1.5300207,0.0026844663,0.80844665,1474.8850749041876,2135.5131198974796
1253.1079,1.7397271,0.0013883299,0.7581575,3108.3288837376863,4426.1497107092055
1350.9841,0.97362816,0.0007206807,1.0134525,4085.6512951599516,6305.94308280123
1921.3625,2.2120357,0.0011512849,0.6723632,4415.888990557076,6104.595106446916
1237.8221,1.6489089,0.0013321048,0.77875644,3124.752465346825,4480.296261385836
2305.1533,2.2113044,0.0009592874,0.6724744,5298.501298678826,7325.020953156787
1032.5372,2.326103,0.002252803,0.65567034,2336.6689372942874,3211.0901255245267
1010.3107,1.3309984,0.0013174149,0.8667847,2740.218159090432,4042.923510213612
2350.1177,1.3816906,0.00058792403,0.85073555,6293.60654942651,9238.199164934234
525.39557,1.3870429,0.0026399973,0.8490926,1405.1647998032213,2061.5148108990834
94.783134,0.27950865,0.0029489282,1.8914828,443.4180082593837,867.3477317087943
1720.1643,2.303648,0.0013392023,0.6588582,3904.372664757622,5371.580747381624
1040.2876,2.15901,0.0020753972,0.68056977,2408.970674142661,3339.8740687125164
3788.5361,2.1752224,0.0005741591,0.6780288,8752.650916162522,12124.08046021293
5820.769,1.7809002,0.00030595617,0.7493422,14329.121458434725,20343.5874970988
446.51834,1.7873648,0.0040028924,0.7479859,1097.9151179981923,1558.0360281157386
1255.8613,0.22155485,0.00017641665,2.124513,6294.671076257588,13071.47512677835
1296.59,2.077446,0.0016022383,0.6938013,3038.8289984497665,4232.747023764166
634.41614,1.5210414,0.0023975451,0.8108294,1644.9232653171857,2383.570970964578
1737.8339,1.7401987,0.0010013608,0.75805473,4310.309311603748,6137.514935421748
1038.9498,1.8258984,0.0017574462,0.7400511,2537.060972502371,3590.631731040337
1148.2535,0.22155485,0.00019294942,2.124513,5755.315963602594,11951.453626979495
882.0063,1.8675064,0.002117339,0.7317605,2138.258310828478,3017.6795368477956
1401.1906,1.7426666,0.0012437042,0.75751776,3473.7379736582475,4945.414728537519
1030.2449,2.5970669,0.0025208248,0.6205238,2255.213650306978,3059.9124237175615
930.4801,2.3221881,0.0024956882,0.65622276,2106.7952751509742,2895.76686779653
2578.981,1.8118757,0.0007025549,0.7429093,6313.422691130253,8943.890215989344
405.04065,2.123499,0.005242681,0.68623674,942.804377009029,1309.7436520553244
425.21457,2.151886,0.0050607063,0.68169546,985.6731668304985,1367.111062432923
738.66455,0.22155485,0.00029993974,2.124513,3702.3597111717922,7688.297337331427
1048.8376,2.3929281,0.0022815047,0.64645034,2353.1541943862253,3223.046710530071
1266.0754,1.4590814,0.0011524443,0.8278664,3328.7374750595736,4850.305776160264
976.6803,1.5049726,0.001540906,0.81514657,2541.3493700125464,3687.7274807684244
1619.4729,0.22155485,0.00013680676,2.124513,8117.177866238582,16856.08148428556
392.335,0.984198,0.0025085653,1.007996,1181.9718751295784,1821.3304219458519
926.2376,2.4166174,0.0026090685,0.64327407,2071.8883191557798,2834.554028410412
1319.8812,1.6609172,0.0012583839,0.7759362,3323.9656143177076,4761.458850446175
2103.1292,1.8354306,0.0008727142,0.7381269,5127.120566591624,7251.523203104839
1208.8652,2.125449,0.0017582183,0.6859219,2813.0431786808053,3907.4467429298384
769.20294,1.4964074,0.0019454,0.8174761,2005.311949367229,2912.098408600444
537.34485,1.0704789,0.0019921637,0.96652025,1571.581760885587,2391.627987163474
228.63654,0.43106985,0.0018853935,1.5230922,925.5619296886874,1645.5070191793222
370.78918,1.6096641,0.004341184,0.78819263,943.4796429860849,1357.0091893451736
1534.5172,2.7835157,0.0018139358,0.59938127,3291.008653456229,4430.537332505581
2541.2349,1.7407873,0.0006850163,0.7579266,6302.27262997448,8973.514869758263
521.5385,1.0779278,0.002066823,0.9631749,1521.646321291388,2313.2832815909655
2106.3655,2.028555,0.00096305937,0.7021123,4973.832087774215,6948.09661560788
833.42456,1.6700631,0.0020038565,0.7738086,2095.1016715749015,2999.029253881782
861.42706,1.7217124,0.0019986746,0.7621136,2144.0259620790052,3057.0778571759342
1131.3739,0.96901643,0.00085649535,1.0158613,3427.2682482775126,5293.568455911113
892.5257,1.7619596,0.0019741275,0.7533591,2204.7849230744832,3134.464565503527
419.70004,1.7670443,0.004210255,0.7522744,1035.805628295503,1472.0292593619556
855.64496,1.9219366,0.0022461847,0.72132415,2055.3672839447395,2890.341653518563
1592.6869,2.1623201,0.0013576555,0.6800487,3686.3924281379145,5109.993390947278
509.80283,2.1867228,0.00428935,0.67624354,1175.8707815956675,1627.7767686303102
